Januari,131154,91606,124105
Februari,273366,99414,201571
Maret,265331,115757,272889
April,190427,113477,205000
Mei,65139,115693,65000
Juni,116803,92830,117000
Juli,141000,86485,141000
Agustus,392691,110448,443430
September,531822,112139,548739
Oktober,506382,119446,506688
November,573297,573297,599580
Desember,578115,578115,574248
